"date","PI","WSI","quadrant"
1986-12-01,1.64199673808591,0.687396711249018,1
1987-01-01,1.75536725625138,0.612847593479881,1
1987-02-01,1.40992300610114,0.543880086374587,1
1987-03-01,1.51507183730071,0.552283722028571,1
1987-04-01,0.778334763644803,0.569621434603373,1
1987-05-01,0.0743511459551604,0.509379564223973,1
1987-06-01,-0.0125275836196417,0.440707163356236,2
1987-07-01,-0.0914346953718225,0.379329795007153,2
1987-08-01,-0.228379116622456,0.305116851645141,2
1987-09-01,-0.31524480643067,0.226771497147616,2
1987-10-01,-0.325472166082051,0.147939951723721,2
1987-11-01,-0.370722329548419,0.069297379804289,2
1987-12-01,-0.402481147649408,-0.00850669750760613,3
1988-01-01,-0.450751074505419,-0.080998943402309,3
1988-02-01,-0.324967426586982,-0.138240563785565,3
1988-03-01,-0.879599100635713,-0.163055735326711,3
1988-04-01,-0.386625113005802,0.00903526229439933,2
1988-05-01,0.376505624012777,0.607597197557978,1
1988-06-01,0.334217958605945,0.628863965354986,1
1988-07-01,0.336796268437074,0.572015317523322,1
1988-08-01,0.33628480423712,0.497713750841208,1
1988-09-01,0.333882095449554,0.419589545867166,1
1988-10-01,0.33350566158781,0.342944453265096,1
1988-11-01,0.331889062223888,0.266836978888195,1
1988-12-01,0.451821064387112,0.193269164191735,1
1989-01-01,0.55327002665914,0.125607122645121,1
1989-02-01,0.36647530915394,0.063914316409387,1
1989-03-01,0.43923938141956,0.0259077882774879,1
1989-04-01,1.05049864415359,0.642240391755153,1
1989-05-01,1.1423330010492,1,1
1989-06-01,1.04096165245095,1,1
1989-07-01,1.04142706771465,0.99976058576293,1
1989-08-01,1.07240251842407,0.957262986762306,1
1989-09-01,1.06627929689457,0.879690878534249,1
1989-10-01,1.06700727356132,0.80019427470734,1
1989-11-01,1.05240649584835,0.720850207287112,1
1989-12-01,1.26119897652986,0.678035166085713,1
1990-01-01,1.04990178966907,0.822192195684149,1
1990-02-01,1.48792448502996,0.762242626929598,1
1990-03-01,1.16978176011401,0.752206857810643,1
1990-04-01,0.510862898723957,0.755559996335624,1
1990-05-01,-0.0298552744834722,0.994493028953678,2
1990-06-01,-0.0536976509618239,0.999916894607537,2
1990-07-01,-0.0679480342561498,0.962718751103141,2
1990-08-01,-0.11239650141989,0.887140263786746,2
1990-09-01,-0.0946883014908284,0.808112681574016,2
1990-10-01,-0.0955924402513474,0.728947402712015,2
1990-11-01,-0.0884522978205717,0.649610513429107,2
1990-12-01,-0.576186161027479,0.571296071568173,2
1991-01-01,-0.249610226885546,0.501113236485261,2
1991-02-01,-0.874165811691249,0.448330736147051,2
1991-03-01,-0.242205114190469,0.401046229977232,2
1991-04-01,-0.49610987574794,0.785248859462836,2
1991-05-01,-0.268418506466461,0.891847355402873,2
1991-06-01,-0.119717583302094,0.887738158317718,2
1991-07-01,-0.201228232605176,0.816533745118978,2
1991-08-01,-0.209002786202804,0.738061577320626,2
1991-09-01,-0.223466269884931,0.658731857922132,2
1991-10-01,-0.223609180554607,0.579079253531059,2
1991-11-01,-0.216569449966988,0.499728509681449,2
1991-12-01,-0.221513043437801,0.421839205980133,2
1992-01-01,-0.421770515582975,0.347675186879168,2
1992-02-01,0.0744688615559966,0.389752532942773,1
1992-03-01,-0.0765908061936891,0.543412770889162,2
1992-04-01,0.085145345339031,0.843420246346034,1
1992-05-01,-0.545086302876633,0.827512844472205,2
1992-06-01,-0.653641265650309,0.75975267724339,2
1992-07-01,-0.583554612011746,0.689424238882956,2
1992-08-01,-0.554162868001648,0.612695430517217,2
1992-09-01,-0.54391333798558,0.533298968144909,2
1992-10-01,-0.544125048444444,0.453681946847736,2
1992-11-01,-0.530210428225739,0.37639239741828,2
1992-12-01,-0.532792604456346,0.301213219157381,2
1993-01-01,-0.613531940774711,0.228335072515162,2
1993-02-01,-0.972894757508996,0.165059386454894,2
1993-03-01,-1.43721973321918,0.142914710563962,2
1993-04-01,-2.94240068475991,0.0966848812825317,2
1993-05-01,-2.40263334693979,0.0350013203038424,2
1993-06-01,-2.24041013966001,-0.0323784008328128,3
1993-07-01,-2.11989332352396,-0.086332095343636,3
1993-08-01,-2.02739595730609,-0.132632736797566,3
1993-09-01,-1.99856076971422,-0.178609656964397,3
1993-10-01,-1.9911804232384,-0.231444548447543,3
1993-11-01,-1.95167915853094,-0.295445599833437,3
1993-12-01,-1.92693150081928,-0.359004899357257,3
1994-01-01,-1.7650191325235,-0.417994158812033,3
1994-02-01,-1.05023232807744,-0.443128767377532,3
1994-03-01,-0.523352273876514,-0.42562609465858,3
1994-04-01,-0.19847655223004,-0.343560041640641,3
1994-05-01,0.235032448226589,-0.299987337591425,4
1994-06-01,0.691778477624405,-0.292423446012909,4
1994-07-01,0.770248990065951,-0.299632434244726,4
1994-08-01,0.749954066433297,-0.350121660413854,4
1994-09-01,0.743740664642706,-0.402857554028732,4
1994-10-01,0.740285545574994,-0.457944803852431,4
1994-11-01,0.731468528517857,-0.516873211576098,4
1994-12-01,0.940303966907544,-0.57263919211783,4
1995-01-01,0.844943875369836,-0.577584315609196,4
1995-02-01,0.500680198385219,-0.616160987953957,4
1995-03-01,0.324758255123168,-0.646525285567488,4
1995-04-01,0.590267207610544,-0.412273016031647,4
1995-05-01,0.540095726426176,-0.175755091132558,4
1995-06-01,0.163887031977146,-0.161271826441807,4
1995-07-01,0.187525924235551,-0.182052780882916,4
1995-08-01,0.191464233560557,-0.220410711692289,4
1995-09-01,0.192301673495537,-0.27343779737664,4
1995-10-01,0.192979786070537,-0.333589988837622,4
1995-11-01,0.251991654551945,-0.390174274411826,4
1995-12-01,-0.0269399207302638,-0.443955326630533,3
1996-01-01,0.270510638167917,-0.4589471786585,4
1996-02-01,0.170021093352332,-0.455199781515863,4
1996-03-01,0.281300869380776,-0.450340551348955,4
1996-04-01,0.406996471734679,-0.343038972642099,4
1996-05-01,0.34725086662349,0.113420360016925,1
1996-06-01,0.173706804920498,0.146737310514262,1
1996-07-01,0.110040863258782,0.101344341077149,1
1996-08-01,0.223570738185176,0.0520434895931978,1
1996-09-01,0.226179759475009,-0.0106947264626275,4
1996-10-01,0.225407683395402,-0.0818021729967158,4
1996-11-01,0.19708359142841,-0.15211225517385,4
1996-12-01,0.190795050242286,-0.216127891680603,4
1997-01-01,0.035019639151814,-0.262607997743346,4
1997-02-01,0.471655558432563,-0.140232840189167,4
1997-03-01,0.583274085543468,-0.0845941828292801,4
1997-04-01,0.417960781459752,0.227591243472829,1
1997-05-01,0.322320566794331,0.284421272833511,1
1997-06-01,0.31565703697737,0.235785143618572,1
1997-07-01,0.263963602964328,0.172638326852169,1
1997-08-01,0.219893465409833,0.107270990469666,1
1997-09-01,0.218191887872941,0.0370894510930668,1
