date,volume
2012-11-22,2213869.0
2012-11-23,2199922.0
2012-11-24,2185975.0
2012-11-25,2172028.0
2012-11-26,2172028.0
2012-11-27,2144134.0
2012-11-28,2116240.0
2012-11-29,2088346.0
2012-11-30,2060452.0
2012-12-01,2060452.0
2012-12-02,2046505.0
2012-12-03,2018611.0
2012-12-04,2004664.0
2012-12-05,1990717.0
2012-12-06,1976770.0
2012-12-07,1962823.0
2012-12-08,1948876.0
2012-12-09,1948876.0
2012-12-10,1934929.0
2012-12-11,1920982.0
2012-12-12,1907035.0
2012-12-13,1893088.0
2012-12-14,1879141.0
2012-12-15,1865194.0
2012-12-16,1851247.0
2012-12-17,1837300.0
2012-12-18,1837300.0
2012-12-19,1823353.0
2012-12-20,1809406.0
2012-12-21,1795459.0
2012-12-22,1795459.0
2012-12-23,1781512.0
2012-12-24,1767565.0
2012-12-25,1753618.0
2012-12-26,1739671.0
2012-12-27,1739671.0
2012-12-28,1725724.0
2012-12-29,1697830.0
2012-12-30,1669936.0
2012-12-31,1642042.0
2013-01-01,1628095.0
2013-01-02,1614148.0
2013-01-03,1600201.0
2013-01-04,1586254.0
2013-01-05,1572307.0
2013-01-06,1558360.0
2013-01-07,1558360.0
2013-01-08,1544413.0
2013-01-09,1530466.0
2013-01-10,1516519.0
2013-01-11,1516519.0
2013-01-12,1494353.42
2013-01-13,1486134.84
2013-01-14,1477916.26
2013-01-15,1469697.68
2013-01-16,1461479.1
2013-01-17,1453260.52
2013-01-18,1445041.94
2013-01-19,1436823.36
2013-01-20,1436823.36
2013-01-21,1436823.36
2013-01-22,1428604.78
2013-01-23,1420386.2
2013-01-24,1412167.62
2013-01-25,1403949.04
2013-01-26,1395730.46
2013-01-27,1387511.88
2013-01-28,1387511.88
2013-01-29,1379293.3
2013-01-30,1371074.72
2013-01-31,1362856.14
2013-02-01,1354637.56
2013-02-02,1346418.98
2013-02-03,1338200.4
2013-02-04,1329981.82
2013-02-05,1321763.24
2013-02-06,1313544.66
2013-02-07,1305326.08
2013-02-08,1305326.08
2013-02-09,1297107.5
2013-02-10,1288888.92
2013-02-11,1280670.34
2013-02-12,1272451.76
2013-02-13,1264233.18
2013-02-14,1256014.6
2013-02-15,1256014.6
2013-02-16,1256014.6
2013-02-17,1256014.6
2013-02-18,1256014.6
2013-02-19,1264233.18
2013-02-20,1264233.18
2013-02-21,1256014.6
2013-02-22,1247796.02
2013-02-23,1239577.44
2013-02-24,1231358.86
2013-02-25,1223140.28
2013-02-26,1214921.7
2013-02-27,1206703.12
2013-02-28,1198484.54
2013-03-01,1190265.96
2013-03-02,1182047.38
2013-03-03,1182047.38
2013-03-04,1173828.8
2013-03-05,1165610.22
